V1,V2,V3,V4,AC
0.0,0.0,0.0,0.0,0
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
-0.03,-0.03,-0.03,-0.03,AC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
0.05,0.05,0.05,0.05,DC
